ID,Apelido,Área,Cargo,Tempo de Casa (anos),Valores da Empresa (1-5),Entrega das Atividades (1-5),Trabalho em Equipe (1-5)
1,Cometa,Operação,Motorista,"11,7",4,3,3
2,Jade,Experiência do Cliente,Analista CX,"1,7",5,4,4
3,Orion,Atendimento,Atendente,"6,5",4,5,5
4,Sirius,Marketing,Assistente Marketing,"2,3",5,4,3
5,Safira,Comercial,Executivo Comercial,"2,2",3,3,3
6,Safira,Administrativo,Analista Administrativo,"6,4",3,5,4
7,Falcão,Atendimento,Supervisor Atendimento,"2,1",4,4,4
8,Águia,Financeiro,Assistente Financeiro,"1,4",4,4,4
9,Aurora,Financeiro,Assistente Financeiro,"0,7",4,3,4
10,Jade,Operação,Motorista,13,4,4,4
11,Pixel,Operação,Fiscal Operacional,"5,4",5,4,4
12,Eco,Marketing,Assistente Marketing,"5,2",5,3,3
13,Sol,RH,Business Partner,"1,9",4,5,5
14,Lua,Tecnologia,Desenvolvedor,2,4,5,4
15,Lobo,Operação,Despachante,"5,5",4,4,3
16,Orion,Planejamento,Analista Planejamento,"0,8",3,5,3
17,Nuvem,Marketing,Assistente Marketing,"1,8",4,5,5
18,Sirius,Financeiro,Analista Financeiro,"0,4",4,3,4
19,Águia,Operação,Despachante,"2,7",4,3,5
20,Pixel,Comercial,Analista Comercial,"2,9",4,4,4
21,Nuvem,Operação,Motorista,"1,1",3,4,4
22,Falcão,Jurídico,Assistente Jurídico,"4,7",3,3,3
23,Vento,Operação,Despachante,4,4,4,3
24,Sirius,Experiência do Cliente,Analista CX,"4,9",3,4,4
25,Bravo,Operação,Despachante,"12,7",3,5,5
26,Panda,RH,Business Partner,"2,7",4,4,2
27,Delta,Operação,Supervisor Operacional,"16,1",4,5,4
28,Orion,Atendimento,Atendente,21,5,4,4
29,Cometa,Tecnologia,Analista de Sistemas,"3,7",4,4,4
30,Lobo,Marketing,Analista Marketing,"2,1",5,5,5
31,Orion,Operação,Despachante,"27,4",4,4,5
32,Trovão,Manutenção,Técnico de Manutenção,"0,5",4,4,4
33,Vento,Operação,Motorista,"2,1",4,4,4
34,Sol,Administrativo,Assistente Administrativo,"8,2",4,5,4
35,Delta,Operação,Fiscal Operacional,"1,6",4,5,4
36,Aurora,Administrativo,Assistente Administrativo,"2,5",4,4,4
37,Jade,Comercial,Executivo Comercial,"1,4",5,5,5
38,Nuvem,Tecnologia,Desenvolvedor,"0,5",4,4,5
39,Trovão,Manutenção,Mecânico,"4,3",4,4,4
40,Vento,Operação,Fiscal Operacional,13,4,4,5
41,Panda,Administrativo,Analista Administrativo,"8,8",4,4,4
42,Jade,Experiência do Cliente,Analista CX,24,4,5,4
43,Lobo,Operação,Motorista,"0,6",5,3,5
44,Lobo,Manutenção,Auxiliar de Manutenção,"2,1",3,4,3
45,Sol,Financeiro,Analista Financeiro,"4,1",4,3,4
46,Nuvem,Jurídico,Assistente Jurídico,"2,1",4,3,3
47,Jade,Operação,Motorista,"24,9",5,5,4
48,Cometa,Tecnologia,Desenvolvedor,"11,8",4,4,5
49,Safira,Tecnologia,Analista de Sistemas,"0,3",4,4,4
50,Bravo,Atendimento,Supervisor Atendimento,"8,2",5,5,4
51,Nuvem,Operação,Despachante,"6,6",4,4,4
52,Bravo,Administrativo,Analista Administrativo,"1,2",5,4,5
53,Cometa,Atendimento,Atendente,"2,2",3,4,5
54,Lobo,Operação,Despachante,"1,7",5,5,4
55,Aurora,Tecnologia,Analista de Sistemas,"0,8",5,4,3
56,Falcão,Administrativo,Analista Administrativo,"1,4",3,4,4
57,Eco,Experiência do Cliente,Analista CX,"2,9",4,4,5
58,Lua,Operação,Fiscal Operacional,"13,4",5,5,5
59,Lobo,Comercial,Analista Comercial,"0,8",3,5,4
60,Pixel,Operação,Despachante,"2,8",4,4,4
61,Trovão,Marketing,Analista Marketing,"0,8",3,5,5
62,Jade,Administrativo,Analista Administrativo,"9,8",5,4,4
63,Safira,Tecnologia,Analista de Sistemas,"1,6",4,4,4
64,Eco,Operação,Despachante,"2,8",5,5,4
65,Atlas,Administrativo,Assistente Administrativo,"2,4",4,4,3
66,Vento,Administrativo,Analista Administrativo,"13,5",3,3,3
67,Nuvem,Operação,Motorista,"9,1",4,5,3
68,Sirius,Manutenção,Auxiliar de Manutenção,"2,3",4,4,3
69,Falcão,Atendimento,Supervisor Atendimento,"3,2",5,5,4
70,Safira,Comercial,Executivo Comercial,"0,9",5,4,4
71,Sol,Operação,Fiscal Operacional,"1,2",5,3,3
72,Orion,Operação,Supervisor Operacional,"9,9",4,5,4
73,Falcão,Comercial,Analista Comercial,"0,5",4,4,2
74,Bravo,Operação,Supervisor Operacional,"9,1",4,4,4
75,Pixel,Atendimento,Supervisor Atendimento,"25,4",4,5,3
76,Aurora,Experiência do Cliente,Analista CX,"1,5",3,5,4
77,Delta,Marketing,Analista Marketing,"13,1",4,5,4
78,Sirius,Operação,Motorista,"2,7",3,5,4
79,Delta,Planejamento,Analista Planejamento,"1,7",3,4,4
80,Lua,Administrativo,Coordenador Administrativo,"1,3",5,4,5
81,Aurora,Operação,Motorista,"6,7",4,4,4
82,Cometa,Operação,Motorista,"14,2",3,5,5
83,Lobo,Operação,Despachante,"7,2",4,3,4
84,Nuvem,Operação,Supervisor Operacional,"3,9",4,4,4
85,Sol,Comercial,Executivo Comercial,"5,2",5,3,4
86,Atlas,Operação,Motorista,"1,1",4,3,3
87,Sol,Administrativo,Coordenador Administrativo,"0,6",4,4,4
88,Bravo,Atendimento,Atendente,"26,5",4,5,4
89,Orion,RH,Assistente RH,"6,7",4,4,4
90,Lobo,Operação,Despachante,"0,6",4,3,4
91,Pixel,Comercial,Executivo Comercial,"1,5",5,4,4
92,Vento,Atendimento,Atendente,"0,4",4,4,4
93,Bravo,RH,Assistente RH,"20,9",3,4,5
94,Eco,Operação,Despachante,"4,2",5,4,4
95,Jade,Comercial,Executivo Comercial,"6,5",4,3,5
96,Sirius,Tecnologia,Analista de Sistemas,"1,6",4,5,4
97,Águia,Operação,Despachante,11,4,4,5
98,Sirius,Comercial,Analista Comercial,"17,5",4,5,4
99,Orion,Tecnologia,Analista de Sistemas,"0,9",4,5,5
100,Nuvem,Operação,Motorista,"0,8",4,5,3
101,Jade,Financeiro,Analista Financeiro,"6,9",4,4,4
102,Jade,Financeiro,Analista Financeiro,"10,4",5,4,5
103,Bravo,Operação,Despachante,"1,5",4,4,4
104,Vento,Tecnologia,Analista de Sistemas,"0,9",5,4,3
105,Eco,Manutenção,Eletricista,"4,1",3,3,4
106,Pixel,Comercial,Analista Comercial,"0,3",3,4,4
107,Vento,Tecnologia,Analista de Sistemas,"3,7",5,5,5
108,Orion,Operação,Supervisor Operacional,"0,2",5,5,3
109,Lobo,Marketing,Assistente Marketing,"1,7",5,5,5
