ID,Apelido,Idade,Tempo de Casa (anos),Área,Cargo,Satisfação (1-5),Recomendaria (1-5)
1,Jade,34,"0,6",Operação,Motorista,5,4
2,Panda,37,"2,5",Operação,Supervisor Operacional,5,5
3,Jade,38,"18,8",Financeiro,Assistente Financeiro,5,5
4,Sol,61,14,Administrativo,Coordenador Administrativo,5,5
5,Atlas,56,"0,8",Operação,Despachante,3,3
6,Jade,57,"1,1",Marketing,Analista Marketing,3,4
7,Sirius,31,"2,8",Operação,Fiscal Operacional,4,5
8,Eco,23,"10,4",Financeiro,Analista Financeiro,5,5
9,Safira,38,"3,9",Manutenção,Técnico de Manutenção,3,3
10,Bravo,30,"16,4",Experiência do Cliente,Analista CX,4,4
11,Atlas,23,"23,2",Experiência do Cliente,Analista CX,3,3
12,Lua,22,"14,8",Comercial,Analista Comercial,5,5
13,Sol,57,"0,3",Comercial,Analista Comercial,3,4
14,Águia,19,"1,6",Manutenção,Técnico de Manutenção,5,5
15,Eco,40,"4,6",Tecnologia,Analista de Dados,5,5
16,Lua,39,26,Comercial,Analista Comercial,5,5
17,Cometa,25,"0,2",Manutenção,Mecânico,4,4
18,Nuvem,42,"1,1",Operação,Fiscal Operacional,4,4
19,Jade,58,"1,1",Financeiro,Assistente Financeiro,3,3
20,Lua,20,"3,2",Administrativo,Analista Administrativo,3,3
21,Bravo,35,"6,3",Operação,Motorista,5,5
22,Jade,18,"0,5",Operação,Motorista,4,3
23,Safira,53,"0,6",Tecnologia,Analista de Dados,4,5
24,Vento,52,"0,8",Planejamento,Analista Planejamento,4,4
25,Bravo,42,"4,8",Tecnologia,Desenvolvedor,4,3
26,Atlas,22,"0,8",Operação,Motorista,5,5
27,Bravo,30,"0,9",Manutenção,Técnico de Manutenção,5,5
28,Atlas,42,"6,1",Operação,Supervisor Operacional,5,5
29,Delta,42,"7,6",Financeiro,Analista Financeiro,5,5
30,Jade,27,"2,2",Planejamento,Analista Planejamento,3,4
31,Jade,51,"8,4",Financeiro,Analista Financeiro,5,5
32,Falcão,28,6,Comercial,Executivo Comercial,4,5
33,Águia,30,"6,6",Operação,Despachante,4,5
34,Pixel,33,"2,4",Operação,Fiscal Operacional,5,5
35,Delta,41,"12,2",Tecnologia,Analista de Sistemas,3,3
36,Lua,29,"2,6",Financeiro,Analista Financeiro,4,5
37,Bravo,35,"5,3",Operação,Fiscal Operacional,4,5
38,Delta,32,"0,8",Administrativo,Coordenador Administrativo,4,4
39,Trovão,33,"0,8",Marketing,Analista Marketing,4,5
40,Cometa,40,"13,8",Atendimento,Atendente,5,5
41,Vento,42,"0,5",Operação,Supervisor Operacional,5,5
42,Sirius,31,"13,4",Operação,Supervisor Operacional,5,5
43,Jade,40,5,Tecnologia,Analista de Dados,5,5
44,Panda,47,"1,3",Atendimento,Supervisor Atendimento,5,5
45,Trovão,26,"2,4",Operação,Fiscal Operacional,3,4
46,Vento,47,"0,7",Jurídico,Assistente Jurídico,5,5
47,Nuvem,38,"1,1",Experiência do Cliente,Analista CX,4,5
48,Lua,22,"3,2",Administrativo,Coordenador Administrativo,5,5
49,Sol,39,"9,2",Operação,Despachante,5,5
50,Lua,42,"0,2",Experiência do Cliente,Analista CX,3,3
51,Vento,22,"0,6",Administrativo,Assistente Administrativo,4,4
52,Delta,42,"1,5",Atendimento,Atendente,5,4
53,Aurora,25,"3,1",Tecnologia,Analista de Dados,3,3
54,Safira,27,"12,9",Operação,Motorista,4,4
55,Aurora,21,"1,7",Tecnologia,Desenvolvedor,4,3
56,Atlas,33,"1,9",Tecnologia,Analista de Dados,4,4
57,Águia,29,"6,6",Operação,Fiscal Operacional,4,3
58,Águia,44,"26,5",Tecnologia,Desenvolvedor,4,4
59,Safira,44,"1,4",Manutenção,Auxiliar de Manutenção,3,4
60,Trovão,19,"0,3",RH,Business Partner,4,5
61,Bravo,22,"0,8",Administrativo,Assistente Administrativo,5,5
62,Bravo,44,2,Operação,Fiscal Operacional,5,5
63,Atlas,52,"0,3",Operação,Motorista,4,5
64,Pixel,43,2,Atendimento,Supervisor Atendimento,4,4
65,Atlas,25,"20,9",Atendimento,Supervisor Atendimento,4,4
66,Águia,35,"1,5",Manutenção,Eletricista,5,5
67,Jade,25,"0,9",Tecnologia,Desenvolvedor,4,4
68,Aurora,36,"2,8",Operação,Fiscal Operacional,3,3
69,Águia,36,"12,3",Financeiro,Assistente Financeiro,5,5
70,Bravo,24,"5,1",Tecnologia,Analista de Sistemas,5,5
71,Cometa,39,2,Operação,Supervisor Operacional,4,3
72,Jade,20,"0,5",Jurídico,Assistente Jurídico,3,5
73,Jade,35,"10,8",Operação,Despachante,5,5
74,Orion,53,"0,4",Financeiro,Assistente Financeiro,2,2
75,Safira,25,"0,9",Operação,Fiscal Operacional,3,4
76,Sol,27,"13,7",Comercial,Analista Comercial,4,4
77,Lobo,27,"13,7",Operação,Motorista,4,4
78,Orion,31,"5,8",Manutenção,Eletricista,4,3
79,Safira,39,"8,7",Tecnologia,Analista de Sistemas,4,5
80,Aurora,25,"9,9",Jurídico,Assistente Jurídico,3,3
81,Pixel,33,"4,9",RH,Business Partner,4,4
82,Bravo,24,"6,3",Operação,Despachante,5,5
83,Falcão,32,"18,1",Manutenção,Técnico de Manutenção,3,4
84,Sol,25,"5,9",Operação,Despachante,5,5
85,Orion,58,"10,3",Operação,Despachante,4,4
86,Vento,20,"6,4",Tecnologia,Analista de Dados,4,3
87,Safira,34,"0,5",Tecnologia,Analista de Dados,5,4
88,Lobo,24,22,Manutenção,Auxiliar de Manutenção,4,4
89,Lua,40,"5,2",Comercial,Executivo Comercial,5,5
90,Jade,26,"0,8",Operação,Despachante,4,4
91,Delta,34,"2,3",RH,Assistente RH,4,5
92,Vento,43,"4,5",Operação,Despachante,5,5
93,Sirius,23,"0,3",Marketing,Assistente Marketing,4,5
94,Panda,32,"10,7",Operação,Despachante,5,4
95,Sirius,25,"11,1",Operação,Despachante,5,5
96,Eco,18,"1,3",Financeiro,Analista Financeiro,4,5
97,Orion,26,"11,2",Manutenção,Mecânico,4,3
98,Vento,24,"4,3",RH,Analista RH,4,4
99,Orion,51,"10,6",Marketing,Assistente Marketing,3,3
100,Pixel,28,"2,3",Administrativo,Coordenador Administrativo,3,3
101,Nuvem,26,"6,7",Atendimento,Atendente,4,5
102,Panda,25,"0,7",Operação,Supervisor Operacional,4,5
103,Trovão,45,"2,1",Tecnologia,Analista de Dados,5,5
104,Nuvem,20,"0,4",Operação,Motorista,5,5
105,Panda,18,"2,2",Comercial,Analista Comercial,4,4
106,Pixel,32,15,Administrativo,Assistente Administrativo,4,5
107,Cometa,28,"13,6",Operação,Fiscal Operacional,3,3
108,Aurora,41,2,Operação,Motorista,4,4
109,Aurora,33,"13,7",Tecnologia,Desenvolvedor,4,4
110,Sol,41,"0,9",Comercial,Analista Comercial,4,4
111,Delta,53,"4,1",Experiência do Cliente,Analista CX,4,3
112,Nuvem,18,"6,9",Administrativo,Coordenador Administrativo,3,4
113,Orion,29,"10,3",Atendimento,Supervisor Atendimento,4,3
114,Pixel,47,"12,5",Operação,Despachante,5,5
115,Pixel,54,"25,8",Operação,Despachante,4,5
116,Pixel,46,"1,2",Atendimento,Atendente,5,4
117,Falcão,26,"20,7",Marketing,Analista Marketing,5,4
118,Falcão,37,"3,5",Operação,Motorista,4,4
119,Orion,41,"5,4",RH,Business Partner,4,4
120,Lobo,29,"2,4",Operação,Fiscal Operacional,5,5
121,Panda,39,"5,3",RH,Analista RH,4,5
122,Aurora,53,"1,2",Experiência do Cliente,Analista CX,4,5
123,Jade,44,"1,6",Operação,Supervisor Operacional,3,3
124,Aurora,21,6,Jurídico,Assistente Jurídico,5,5
125,Atlas,53,"19,8",Operação,Despachante,5,5
126,Sol,27,"1,2",Atendimento,Atendente,4,4
127,Pixel,21,"1,3",Operação,Supervisor Operacional,4,3
128,Safira,50,"0,7",Administrativo,Assistente Administrativo,4,5
129,Sirius,51,"2,1",Manutenção,Auxiliar de Manutenção,4,5
130,Bravo,28,"1,3",Experiência do Cliente,Analista CX,5,5
131,Delta,42,"0,8",Planejamento,Analista Planejamento,3,3
132,Pixel,48,"28,7",Operação,Motorista,5,5
133,Trovão,33,1,Operação,Fiscal Operacional,3,4
134,Nuvem,40,"1,9",Experiência do Cliente,Analista CX,4,4
135,Trovão,29,"11,4",Financeiro,Analista Financeiro,4,5
136,Nuvem,32,"0,2",Tecnologia,Analista de Sistemas,4,4
137,Águia,26,"0,6",Operação,Motorista,4,4
138,Vento,28,"0,9",Operação,Despachante,4,4
139,Vento,22,2,Operação,Motorista,5,5
140,Sirius,50,2,Tecnologia,Analista de Sistemas,5,5
141,Lua,41,"2,4",Financeiro,Assistente Financeiro,4,4
142,Sol,30,"2,7",Administrativo,Analista Administrativo,4,4
143,Atlas,62,"1,5",RH,Analista RH,4,4
144,Falcão,33,"0,9",RH,Analista RH,4,5
145,Sirius,22,"30,8",Tecnologia,Analista de Sistemas,5,4
146,Bravo,49,"12,6",Manutenção,Mecânico,5,4
147,Lobo,45,"1,1",Marketing,Assistente Marketing,5,5
148,Panda,20,"0,2",Atendimento,Atendente,4,5
149,Eco,18,"4,6",Atendimento,Supervisor Atendimento,4,4
150,Nuvem,47,"13,8",Marketing,Assistente Marketing,4,5
151,Nuvem,34,"0,9",Operação,Fiscal Operacional,4,4
152,Pixel,54,"3,8",Tecnologia,Analista de Dados,4,5
153,Safira,40,"2,9",Manutenção,Auxiliar de Manutenção,3,3
154,Cometa,29,"0,7",Tecnologia,Desenvolvedor,4,5
155,Cometa,36,3,Financeiro,Assistente Financeiro,5,5
156,Delta,59,"0,8",Experiência do Cliente,Analista CX,4,4
157,Lobo,33,"8,3",Tecnologia,Desenvolvedor,5,5
158,Panda,32,"5,2",Tecnologia,Analista de Dados,4,3
159,Sirius,48,"5,1",Comercial,Executivo Comercial,5,5
160,Vento,51,"20,8",Tecnologia,Analista de Dados,5,5
161,Panda,19,"1,5",Tecnologia,Analista de Sistemas,5,5
162,Nuvem,35,"5,3",Operação,Despachante,4,4
163,Águia,37,"0,9",Operação,Motorista,4,4
164,Orion,55,"6,7",Marketing,Analista Marketing,5,5
165,Panda,20,"10,9",Operação,Supervisor Operacional,4,5
166,Nuvem,29,"30,3",Operação,Motorista,5,4
167,Sol,37,5,Operação,Fiscal Operacional,5,5
168,Bravo,27,"0,8",Comercial,Executivo Comercial,5,5
