ID_Funcionario,Apelido,Idade,Faixa_Idade,Anos_na_Empresa,Class_Experiencia,Area,Cargo,Nivel_Satisfacao ,Desc_Satisfacao ,Recomendaria ,Desc_Recomendaria 
245,Eco,61,58-64,"0,6",Integração,Comercial,Executivo Comercial,4,Satisfeito,4,Recomendaria
156,Delta,59,58-64,"0,8",Integração,Experiência do Cliente,Analista CX,4,Satisfeito,4,Recomendaria
143,Atlas,62,58-64,"1,5",Consolidação,RH,Analista RH,4,Satisfeito,4,Recomendaria
439,Atlas,60,58-64,"5,7",Embaixadores,Administrativo,Assistente Administrativo,5,Muito satisfeito,5,Recomendaria fortemente
368,Atlas,60,58-64,"10,6",Veteranos,Operação,Supervisor Operacional,4,Satisfeito,5,Recomendaria fortemente
4,Sol,61,58-64,14,Veteranos,Administrativo,Coordenador Administrativo,5,Muito satisfeito,5,Recomendaria fortemente
243,Águia,52,50-58,"0,2",Integração,Atendimento,Supervisor Atendimento,3,Neutro,2,Pouco provável recomendar
13,Sol,57,50-58,"0,3",Integração,Comercial,Analista Comercial,3,Neutro,4,Recomendaria
63,Atlas,52,50-58,"0,3",Integração,Operação,Motorista,4,Satisfeito,5,Recomendaria fortemente
234,Eco,53,50-58,"0,3",Integração,Manutenção,Técnico de Manutenção,3,Neutro,3,Neutro
74,Orion,53,50-58,"0,4",Integração,Financeiro,Assistente Financeiro,2,Insatisfeito,2,Pouco provável recomendar
459,Delta,53,50-58,"0,4",Integração,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
460,Bravo,52,50-58,"0,4",Integração,Manutenção,Mecânico,4,Satisfeito,4,Recomendaria
199,Delta,52,50-58,"0,5",Integração,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
355,Aurora,58,50-58,"0,5",Integração,Marketing,Assistente Marketing,4,Satisfeito,5,Recomendaria fortemente
23,Safira,53,50-58,"0,6",Integração,Tecnologia,Analista de Dados,4,Satisfeito,5,Recomendaria fortemente
328,Lua,52,50-58,"0,6",Integração,Manutenção,Técnico de Manutenção,3,Neutro,3,Neutro
5,Atlas,56,50-58,"0,8",Integração,Operação,Despachante,3,Neutro,3,Neutro
24,Vento,52,50-58,"0,8",Integração,Planejamento,Analista Planejamento,4,Satisfeito,4,Recomendaria
6,Jade,57,50-58,"1,1",Consolidação,Marketing,Analista Marketing,3,Neutro,4,Recomendaria
19,Jade,58,50-58,"1,1",Consolidação,Financeiro,Assistente Financeiro,3,Neutro,3,Neutro
367,Delta,52,50-58,"1,1",Consolidação,Manutenção,Técnico de Manutenção,4,Satisfeito,3,Neutro
448,Aurora,56,50-58,"1,1",Consolidação,Tecnologia,Desenvolvedor,4,Satisfeito,4,Recomendaria
122,Aurora,53,50-58,"1,2",Consolidação,Experiência do Cliente,Analista CX,4,Satisfeito,5,Recomendaria fortemente
375,Delta,52,50-58,"1,5",Consolidação,Planejamento,Analista Planejamento,4,Satisfeito,4,Recomendaria
464,Delta,53,50-58,"1,5",Consolidação,Comercial,Executivo Comercial,5,Muito satisfeito,5,Recomendaria fortemente
334,Sol,52,50-58,"1,6",Consolidação,Tecnologia,Desenvolvedor,5,Muito satisfeito,5,Recomendaria fortemente
410,Sirius,54,50-58,2,Consolidação,Comercial,Executivo Comercial,5,Muito satisfeito,5,Recomendaria fortemente
129,Sirius,51,50-58,"2,1",Consolidação,Manutenção,Auxiliar de Manutenção,4,Satisfeito,5,Recomendaria fortemente
