area,Quantidade,Media_Satisfacao,Media_Indicaria
Planejamento,15,3.7333333333333334,3.7333333333333334
Experiência do Cliente,20,3.75,3.95
Manutenção,47,3.8085106382978724,3.8085106382978724
Atendimento,32,3.9375,3.875
Administrativo,42,3.9523809523809526,4.119047619047619
Jurídico,9,4.0,4.333333333333333
RH,18,4.111111111111111,4.444444444444445
Financeiro,29,4.137931034482759,4.310344827586207
Comercial,42,4.214285714285714,4.357142857142857
Tecnologia,49,4.26530612244898,4.3061224489795915
Marketing,20,4.3,4.4
Operação,177,4.3559322033898304,4.401129943502825
